task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
9	58/a01dba	95467	get_uniprot_data (9)	COMPLETED	0	2025-07-14 14:50:33.730	7.4s	2.4s	103.0%	28.4 MB	1.7 GB	10.8 MB	1.8 KB
5	28/b8a72a	95693	get_uniprot_data (5)	COMPLETED	0	2025-07-14 14:50:33.786	7.4s	2.5s	106.9%	59.4 MB	1.7 GB	10.8 MB	1.8 KB
16	4c/771bba	95558	get_uniprot_data (16)	COMPLETED	0	2025-07-14 14:50:33.758	7.5s	2.5s	159.7%	59.4 MB	1.7 GB	10.8 MB	1.8 KB
6	19/a40f6f	95961	get_uniprot_data (6)	COMPLETED	0	2025-07-14 14:50:33.844	8.1s	3.3s	81.3%	59.1 MB	1.7 GB	10.8 MB	1.7 KB
15	83/cc6143	95752	get_uniprot_data (15)	COMPLETED	0	2025-07-14 14:50:33.797	8.2s	3.4s	86.7%	59.1 MB	1.7 GB	10.8 MB	1.8 KB
11	4a/a1b9ac	95533	get_uniprot_data (11)	COMPLETED	0	2025-07-14 14:50:33.751	8.5s	3.6s	61.8%	59.1 MB	1.7 GB	10.8 MB	1.7 KB
2	74/062b3a	95437	get_uniprot_data (2)	COMPLETED	0	2025-07-14 14:50:33.710	8.6s	3.6s	65.7%	59.1 MB	1.7 GB	10.8 MB	1.8 KB
13	8f/3cc204	95890	get_uniprot_data (13)	COMPLETED	0	2025-07-14 14:50:33.831	8.5s	3.6s	61.7%	59.1 MB	1.7 GB	10.8 MB	1.8 KB
8	cf/74fd23	95805	get_uniprot_data (8)	COMPLETED	0	2025-07-14 14:50:33.812	9.1s	4.3s	52.8%	59.1 MB	1.7 GB	10.8 MB	1.7 KB
12	8e/e5dffd	95777	get_uniprot_data (12)	COMPLETED	0	2025-07-14 14:50:33.805	9.2s	4.4s	50.7%	59.1 MB	1.7 GB	10.8 MB	1.8 KB
10	0f/7407d1	95447	get_uniprot_data (10)	COMPLETED	0	2025-07-14 14:50:33.720	9.4s	4.4s	50.3%	59.1 MB	1.7 GB	10.8 MB	1.8 KB
1	79/c39f2b	95583	get_uniprot_data (1)	COMPLETED	0	2025-07-14 14:50:33.765	9.4s	4.4s	52.0%	59.1 MB	1.7 GB	10.8 MB	1.8 KB
18	12/12bc94	95435	get_uniprot_data (18)	COMPLETED	0	2025-07-14 14:50:33.703	10.3s	5.3s	43.5%	61.1 MB	1.7 GB	10.8 MB	1.8 KB
17	6a/305f99	95504	get_uniprot_data (17)	COMPLETED	0	2025-07-14 14:50:33.743	10.3s	5.3s	42.4%	61.1 MB	1.7 GB	10.8 MB	1.7 KB
3	9e/88ff1f	95834	get_uniprot_data (3)	COMPLETED	0	2025-07-14 14:50:33.818	10.2s	5.3s	42.8%	59.1 MB	1.7 GB	10.8 MB	1.8 KB
19	37/fde214	95440	get_uniprot_data (19)	COMPLETED	0	2025-07-14 14:50:33.715	10.4s	5.4s	41.9%	59.1 MB	1.7 GB	10.8 MB	1.8 KB
4	1c/740759	95484	get_uniprot_data (4)	COMPLETED	0	2025-07-14 14:50:33.738	11.3s	6.3s	39.3%	59.1 MB	1.7 GB	10.8 MB	1.8 KB
7	41/06bd5f	95651	get_uniprot_data (7)	COMPLETED	0	2025-07-14 14:50:33.778	11.3s	6.3s	44.8%	59.1 MB	1.7 GB	10.8 MB	1.7 KB
14	11/33624e	95865	get_uniprot_data (14)	COMPLETED	0	2025-07-14 14:50:33.825	11.2s	6.3s	37.0%	59.1 MB	1.7 GB	10.8 MB	1.9 KB
27	51/c10d22	106644	collect_taxonomy	COMPLETED	0	2025-07-14 14:50:45.071	350ms	26ms	90.6%	0	0	73.1 KB	4.7 KB
26	fd/845525	96070	extract_pdb (7)	COMPLETED	0	2025-07-14 14:50:33.898	5m 37s	5m 32s	95.5%	3.5 MB	15.2 MB	49 GB	40.5 GB
20	fb/4ef2a5	96130	extract_pdb (1)	COMPLETED	0	2025-07-14 14:50:33.924	5m 37s	5m 32s	96.2%	3.5 MB	15.2 MB	49 GB	40.5 GB
22	d2/bb1df6	96036	extract_pdb (3)	COMPLETED	0	2025-07-14 14:50:33.877	5m 37s	5m 32s	96.2%	3.5 MB	15.2 MB	49 GB	40.5 GB
25	b7/8efd55	96059	extract_pdb (6)	COMPLETED	0	2025-07-14 14:50:33.891	5m 37s	5m 32s	92.9%	3.5 MB	15.2 MB	49 GB	40.5 GB
23	31/6f968c	96087	extract_pdb (4)	COMPLETED	0	2025-07-14 14:50:33.908	5m 37s	5m 32s	92.8%	3.5 MB	15.2 MB	49 GB	40.5 GB
21	fb/a9b734	96106	extract_pdb (2)	COMPLETED	0	2025-07-14 14:50:33.916	5m 37s	5m 32s	92.7%	3.5 MB	15.2 MB	49 GB	40.5 GB
24	54/6cd068	96162	extract_pdb (5)	COMPLETED	0	2025-07-14 14:50:33.935	5m 37s	5m 32s	92.8%	3.5 MB	15.2 MB	49 GB	40.5 GB
30	64/404178	145040	run_unidoc (1)	COMPLETED	0	2025-07-14 14:56:10.608	2s	990ms	44.6%	6.3 MB	13.8 MB	1.3 MB	39.7 KB
31	ed/1f2375	144984	run_unidoc (2)	COMPLETED	0	2025-07-14 14:56:10.593	2.4s	1.4s	57.3%	6.3 MB	13.8 MB	2.7 MB	41.6 KB
36	d7/f39f5a	145089	run_unidoc (3)	COMPLETED	0	2025-07-14 14:56:10.621	2.4s	1.4s	58.5%	6.3 MB	14.1 MB	3 MB	67.5 KB
45	e9/710877	145334	run_unidoc (6)	COMPLETED	0	2025-07-14 14:56:10.668	2.4s	1.5s	60.9%	6.3 MB	14.1 MB	3.4 MB	99 KB
48	9b/379c61	145632	run_unidoc (7)	COMPLETED	0	2025-07-14 14:56:10.710	2.4s	1.5s	58.4%	6.3 MB	13.8 MB	3.2 MB	77.4 KB
41	50/ab0133	145151	run_unidoc (5)	COMPLETED	0	2025-07-14 14:56:10.636	2.5s	1.5s	59.8%	7.3 MB	14.8 MB	3.6 MB	106.6 KB
39	ea/f13350	145247	run_unidoc (4)	COMPLETED	0	2025-07-14 14:56:10.652	2.6s	1.6s	63.8%	16.9 MB	29.7 MB	3.8 MB	125.6 KB
29	95/533b99	144912	run_chainsaw (1)	COMPLETED	0	2025-07-14 14:56:10.537	39.3s	37.8s	412.5%	333.2 MB	7.3 GB	32.5 MB	21 KB
32	8a/166807	144915	run_chainsaw (2)	COMPLETED	0	2025-07-14 14:56:10.545	1m 25s	1m 23s	466.0%	298.6 MB	7.4 GB	32.5 MB	22.3 KB
43	f4/386018	145437	run_chainsaw (6)	COMPLETED	0	2025-07-14 14:56:10.684	1m 32s	1m 30s	454.7%	341.2 MB	7.3 GB	32.9 MB	51.2 KB
46	bb/6222dc	145481	run_chainsaw (7)	COMPLETED	0	2025-07-14 14:56:10.691	1m 33s	1m 31s	452.1%	333.6 MB	7.4 GB	32.7 MB	40.4 KB
35	de/e9c428	144941	run_chainsaw (3)	COMPLETED	0	2025-07-14 14:56:10.568	1m 34s	1m 32s	451.0%	305.2 MB	7.3 GB	32.6 MB	35.4 KB
38	fd/b34b45	145006	run_chainsaw (4)	COMPLETED	0	2025-07-14 14:56:10.600	1m 35s	1m 34s	459.1%	453.2 MB	7.4 GB	33 MB	64.5 KB
40	06/3ed4ae	145201	run_chainsaw (5)	COMPLETED	0	2025-07-14 14:56:10.644	1m 36s	1m 35s	449.5%	433.9 MB	7.4 GB	32.9 MB	54.8 KB
49	61/d4c1a8	167982	run_filter_domains (1)	COMPLETED	0	2025-07-14 14:57:46.923	2.4s	602ms	21.1%	1.6 MB	5.4 MB	688.8 KB	1.4 KB
28	3e/520297	144921	run_merizo (1)	COMPLETED	0	2025-07-14 14:56:10.553	6m 13s	6m 11s	510.7%	1.6 GB	8.6 GB	235.9 MB	295 B
33	ae/b101ce	144930	run_merizo (2)	COMPLETED	0	2025-07-14 14:56:10.560	6m 13s	6m 11s	536.6%	1.6 GB	8.6 GB	235.9 MB	374 B
34	e4/19a807	144959	run_merizo (3)	COMPLETED	0	2025-07-14 14:56:10.580	9m 23s	9m 21s	697.3%	1.6 GB	8.6 GB	236 MB	387 B
47	cb/2998c4	145539	run_merizo (7)	COMPLETED	0	2025-07-14 14:56:10.699	10m 1s	10m	753.6%	1.6 GB	8.6 GB	236.1 MB	392 B
44	f8/f47e94	145295	run_merizo (6)	COMPLETED	0	2025-07-14 14:56:10.663	11m 49s	11m 48s	839.3%	1.6 GB	8.6 GB	236.1 MB	397 B
42	d5/ad703c	145116	run_merizo (5)	COMPLETED	0	2025-07-14 14:56:10.627	11m 50s	11m 48s	871.0%	1.6 GB	8.6 GB	236.2 MB	365 B
37	b0/c06c2d	145066	run_merizo (4)	COMPLETED	0	2025-07-14 14:56:10.614	11m 50s	11m 49s	898.4%	1.6 GB	8.6 GB	236.2 MB	409 B
50	0b/a50948	199345	collect_results (1)	COMPLETED	0	2025-07-14 15:08:00.940	2.5s	1.8s	230.8%	27.1 MB	1.7 GB	9.4 MB	904 B
51	71/711e76	199346	convert_files (1)	COMPLETED	0	2025-07-14 15:08:00.945	2.9s	2.3s	436.8%	26.2 MB	1.7 GB	18.2 MB	2.7 KB
52	24/ca1ff4	199972	run_filter_domains_reformatted (1)	COMPLETED	0	2025-07-14 15:08:03.908	660ms	232ms	90.5%	6 MB	15.9 MB	1.3 MB	2.6 KB
53	fa/d4602c	200128	run_get_consensus (1)	COMPLETED	0	2025-07-14 15:08:04.595	5.3s	4.8s	197.1%	917.5 MB	2.5 GB	12.5 MB	1.8 KB
54	ba/2c4005	200554	run_filter_consensus (1)	COMPLETED	0	2025-07-14 15:08:09.956	692ms	245ms	93.4%	6.5 MB	15.9 MB	1.1 MB	1.5 KB
55	41/0ccb59	200707	chop_pdb (1)	COMPLETED	0	2025-07-14 15:08:10.681	2.1s	1.3s	77.8%	8.9 MB	18 MB	10.4 MB	2.1 MB
56	b0/bbbc3f	201011	run_plddt (1)	COMPLETED	0	2025-07-14 15:08:12.810	986ms	258ms	60.2%	5.8 MB	15.9 MB	1.8 MB	717 B
58	37/926651	201009	run_stride (1)	COMPLETED	0	2025-07-14 15:08:12.796	1.3s	764ms	41.3%	1.7 MB	4.2 MB	1.2 MB	177.3 KB
62	75/d3e955	201513	create_md5 (4)	COMPLETED	0	2025-07-14 15:08:12.932	1.7s	1.2s	127.6%	31.6 MB	1.7 GB	4.1 MB	394 B
72	d9/da3d1b	201017	create_md5 (14)	COMPLETED	0	2025-07-14 15:08:12.816	1.8s	1.3s	234.3%	27 MB	1.7 GB	4.2 MB	485 B
77	43/858226	201342	create_md5 (19)	COMPLETED	0	2025-07-14 15:08:12.907	1.7s	1.2s	123.4%	31.6 MB	1.7 GB	4.1 MB	381 B
71	68/ad58b3	201165	create_md5 (13)	COMPLETED	0	2025-07-14 15:08:12.874	1.7s	1.2s	133.5%	31.6 MB	1.7 GB	4.1 MB	423 B
75	22/b9a946	201220	create_md5 (17)	COMPLETED	0	2025-07-14 15:08:12.886	1.7s	1.2s	164.7%	31.6 MB	1.7 GB	4.1 MB	407 B
59	1b/99f227	201554	create_md5 (1)	COMPLETED	0	2025-07-14 15:08:12.938	1.7s	1.2s	139.2%	31.8 MB	1.7 GB	4.2 MB	462 B
66	ee/c91e3b	201597	create_md5 (8)	COMPLETED	0	2025-07-14 15:08:12.943	1.7s	1.2s	178.0%	31.6 MB	1.7 GB	4.2 MB	453 B
61	19/2cdbff	201026	create_md5 (3)	COMPLETED	0	2025-07-14 15:08:12.826	1.8s	1.3s	180.3%	28 MB	1.7 GB	4.2 MB	448 B
67	c6/9d27fc	201039	create_md5 (9)	COMPLETED	0	2025-07-14 15:08:12.833	1.8s	1.3s	202.2%	26.4 MB	1.7 GB	4.1 MB	343 B
63	66/8c61a3	201136	create_md5 (5)	COMPLETED	0	2025-07-14 15:08:12.868	1.7s	1.2s	122.2%	31.6 MB	1.7 GB	4.1 MB	388 B
64	a9/8d2cfa	201086	create_md5 (6)	COMPLETED	0	2025-07-14 15:08:12.854	1.8s	1.2s	141.1%	31.7 MB	1.7 GB	4.1 MB	369 B
68	f2/4692b1	201110	create_md5 (10)	COMPLETED	0	2025-07-14 15:08:12.862	1.8s	1.2s	130.7%	31.6 MB	1.7 GB	4.1 MB	390 B
70	c6/267f68	201055	create_md5 (12)	COMPLETED	0	2025-07-14 15:08:12.841	1.8s	1.2s	128.1%	31.6 MB	1.7 GB	4.1 MB	349 B
60	3f/d41664	201067	create_md5 (2)	COMPLETED	0	2025-07-14 15:08:12.847	1.9s	1.2s	152.1%	31.6 MB	1.7 GB	4.1 MB	373 B
74	d6/d0204f	201243	create_md5 (16)	COMPLETED	0	2025-07-14 15:08:12.893	1.8s	1.3s	135.2%	27.2 MB	1.7 GB	4.2 MB	498 B
76	ef/20990e	201184	create_md5 (18)	COMPLETED	0	2025-07-14 15:08:12.880	1.8s	1.3s	115.8%	31.6 MB	1.7 GB	4.1 MB	370 B
69	81/39d4dd	201287	create_md5 (11)	COMPLETED	0	2025-07-14 15:08:12.900	1.8s	1.3s	124.2%	31.6 MB	1.7 GB	4.1 MB	381 B
65	0a/a43a3b	201423	create_md5 (7)	COMPLETED	0	2025-07-14 15:08:12.918	1.8s	1.3s	140.3%	30.5 MB	1.7 GB	4.1 MB	368 B
73	6b/61da6b	201752	create_md5 (15)	COMPLETED	0	2025-07-14 15:08:12.961	1.8s	1.2s	383.1%	6.3 MB	15.9 MB	4.1 MB	369 B
89	19/035d92	205036	summarise_stride (12)	COMPLETED	0	2025-07-14 15:08:14.175	684ms	176ms	67.3%	5.8 MB	15.7 MB	656.3 KB	439 B
94	ef/c5fab3	205035	summarise_stride (17)	COMPLETED	0	2025-07-14 15:08:14.168	697ms	156ms	77.0%	6 MB	15.9 MB	661.7 KB	448 B
86	d4/ed0f01	205049	summarise_stride (9)	COMPLETED	0	2025-07-14 15:08:14.189	679ms	162ms	79.1%	5.5 MB	15.6 MB	655.4 KB	443 B
92	29/226ec9	205060	summarise_stride (15)	COMPLETED	0	2025-07-14 15:08:14.195	676ms	170ms	71.9%	5.5 MB	15.6 MB	658.2 KB	439 B
84	8d/f16899	205116	summarise_stride (7)	COMPLETED	0	2025-07-14 15:08:14.215	658ms	162ms	89.4%	5.8 MB	15.7 MB	658 KB	443 B
81	59/9e57c7	205140	summarise_stride (4)	COMPLETED	0	2025-07-14 15:08:14.221	656ms	165ms	91.6%	5.5 MB	15.6 MB	660.3 KB	443 B
93	a4/03597c	205222	summarise_stride (16)	COMPLETED	0	2025-07-14 15:08:14.239	656ms	167ms	91.9%	5.8 MB	15.9 MB	670.7 KB	449 B
83	7d/3a499d	205070	summarise_stride (6)	COMPLETED	0	2025-07-14 15:08:14.200	737ms	161ms	90.9%	6 MB	15.9 MB	658.2 KB	443 B
78	ab/15b7a4	205095	summarise_stride (1)	COMPLETED	0	2025-07-14 15:08:14.207	734ms	171ms	95.8%	5.8 MB	15.9 MB	666.9 KB	445 B
95	8b/0dca7f	205196	summarise_stride (18)	COMPLETED	0	2025-07-14 15:08:14.234	709ms	164ms	88.6%	6 MB	15.9 MB	658.3 KB	447 B
96	00/174e6d	205254	summarise_stride (19)	COMPLETED	0	2025-07-14 15:08:14.245	699ms	176ms	88.5%	5.8 MB	15.9 MB	659.2 KB	447 B
87	ca/6bbc47	205374	summarise_stride (10)	COMPLETED	0	2025-07-14 15:08:14.263	683ms	154ms	86.6%	5.8 MB	15.9 MB	660.3 KB	444 B
82	33/232601	205434	summarise_stride (5)	COMPLETED	0	2025-07-14 15:08:14.269	679ms	164ms	82.5%	5.8 MB	15.9 MB	659.9 KB	444 B
85	05/2cc62c	205561	summarise_stride (8)	COMPLETED	0	2025-07-14 15:08:14.283	667ms	153ms	92.5%	5.5 MB	15.6 MB	665.6 KB	444 B
79	6a/67eb26	205040	summarise_stride (2)	COMPLETED	0	2025-07-14 15:08:14.181	772ms	172ms	86.6%	5.8 MB	15.7 MB	658.7 KB	444 B
91	84/41bfb7	205168	summarise_stride (14)	COMPLETED	0	2025-07-14 15:08:14.227	728ms	168ms	90.7%	5.2 MB	15.6 MB	669.9 KB	442 B
90	f3/423426	205348	summarise_stride (13)	COMPLETED	0	2025-07-14 15:08:14.255	701ms	168ms	91.1%	5.3 MB	15.6 MB	663 KB	439 B
88	3c/4f7572	205287	summarise_stride (11)	COMPLETED	0	2025-07-14 15:08:14.250	713ms	178ms	90.9%	5.5 MB	15.6 MB	659.2 KB	439 B
80	03/6353b0	205498	summarise_stride (3)	COMPLETED	0	2025-07-14 15:08:14.277	719ms	182ms	93.2%	5.5 MB	15.6 MB	665.6 KB	445 B
97	17/733ff7	208929	join_plddt_md5 (1)	COMPLETED	0	2025-07-14 15:08:14.762	277ms	11ms	103.6%	0	0	73.7 KB	1.4 KB
98	e6/d6dbbd	209306	transform_consensus (1)	COMPLETED	0	2025-07-14 15:08:15.100	1.7s	1.1s	580.6%	7 MB	16.2 MB	9.2 MB	1.7 KB
99	47/a0dcf6	209668	run_AF_domain_id (1)	COMPLETED	0	2025-07-14 15:08:16.793	1.3s	115ms	35.5%	2.5 MB	8.1 MB	85 KB	567 B
57	c6/3281e3	201010	run_measure_globularity (1)	COMPLETED	0	2025-07-14 15:08:12.804	5.3s	3.9s	181.0%	66.4 MB	1.7 GB	11 MB	6.9 KB
100	14/78923e	209867	collect_results_final (1)	COMPLETED	0	2025-07-14 15:08:18.108	1.5s	1.1s	583.6%	6 MB	15.9 MB	9.1 MB	4.8 KB
